;;;;;;;;;;;;;;;;;
NUMERO DE PROGRAMAS;DEFECTOS (D);LOC(N);;;;;NUMERO DE PROGRAMAS;DEFECTOS (D);LOC(N);;Conclusion;;;;;;
1;6;25;;Dd plan;80,73514933;;1;0;30;;En el programa original, se observo una densidad de defectos Dd= 80,73, lo que indica que, por cada 1000 líneas de codigo (LOC), se encuentran aproximandamente 80 defectos. En la nueva versión corregida, tras la refactorización, la densidad de defectos disminuyó significativamente, presentando 58 defectos por cada 1000 LOC.;;;;;;
2;8;31;;;;;2;1;34;;;;;;;;
3;8;74;;;;;3;3;80;;;;;;;;
4;9;87;;;;;4;3;97;;;;;;;;
5;7;61;;;;;5;2;53;;;;;;;;
6;9;102;;Dd plan;58,08073515;;6;3;98;;Se hace reflejo de una mejora en la calidad del código y una reducción dele riesgo asociado al defecto;;;;;;
7;5;77;;;;;7;2;82;;;;;;;;
8;13;145;;;;;8;3;151;;;;;;;;
9;3;56;;;;;9;1;50;;;;;;;;
10;4;61;;;;;10;1;63;;;;;;;;
11;12;57;;;;;11;0;50;;;;;;;;
12;3;15;;;;;12;4;19;;;;;;;;
13;20;110;;;;;13;2;120;;;;;;;;
14;3;11;;;;;14;0;9;;;;;;;;
15;4;28;;;;;15;1;28;;;;;;;;
16;0;3;;;;;16;0;3;;;;;;;;
17;11;61;;;;;17;1;68;;;;;;;;
18;2;22;;;;;18;1;18;;;;;;;;
19;3;42;;;;;19;1;50;;;;;;;;
20;4;80;;;;;20;1;72;;;;;;;;
21;13;61;;;;;21;1;57;;;;;;;;
22;10;50;;;;;22;1;54;;;;;;;;
23;3;65;;;;;23;2;62;;;;;;;;
24;6;138;;;;;24;3;145;;;;;;;;
25;2;19;;;;;25;1;16;;;;;;;;
26;12;179;;;;;26;2;185;;;;;;;;
27;6;188;;;;;27;2;193;;;;;;;;
28;3;82;;;;;28;1;76;;;;;;;;
29;16;317;;;;;29;4;300;;;;;;;;
30;8;130;;;;;30;2;138;;;;;;;;
31;9;252;;;;;31;3;246;;;;;;;;
32;1;7;;;;;32;0;10;;;;;;;;
33;4;96;;;;;33;1;103;;;;;;;;
34;15;234;;;;;34;3;225;;;;;;;;
35;4;81;;;;;35;2;76;;;;;;;;
TOTAL HASTA LA FECHA;246;3047;;;;;TOTAL HASTA LA FECHA;58;3061;;;;;;;;
